play ID,game ID,game name,userid,date,quantity,location,length,incomplete,nowinstats,comments,player 1 username,player 1 name,player 1 startposition,player 1 color,player 1 score,player 1 new,player 1 rating,player 1 win,player 2 username,player 2 name,player 2 startposition,player 2 color,player 2 score,player 2 new,player 2 rating,player 2 win,player 3 username,player 3 name,player 3 startposition,player 3 color,player 3 score,player 3 new,player 3 rating,player 3 win,player 4 username,player 4 name,player 4 startposition,player 4 color,player 4 score,player 4 new,player 4 rating,player 4 win,player 5 username,player 5 name,player 5 startposition,player 5 color,player 5 score,player 5 new,player 5 rating,player 5 win,player 6 username,player 6 name,player 6 startposition,player 6 color,player 6 score,player 6 new,player 6 rating,player 6 win,player 7 username,player 7 name,player 7 startposition,player 7 color,player 7 score,player 7 new,player 7 rating,player 7 win
74623030,136063,Forbidden Desert,,07/08/2023,,Thuis ,45,,,,,Henk,,,,1,,,,Ottie,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74623048,370591,Dorfromantik: The Board Game,,09/08/2023,,Thuis ,45,,,,,Maxim,,,190,,,1,,Ottie,,,190,,,1,,Wiebe,,,190,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74645812,35677,Le Havre,,09/08/2023,,Meeples,150,,,,,Cindy T,,,29,1,,,,Hans,,,35,1,,,,Ottie,,,87,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74647540,220,High Society,,09/08/2023,,Meeples,,,,,,Cindy T,,,9,1,,,,Hans,,,9,1,,,,Ottie,,,18,1,,,,Vadim,,,10,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
74811437,40692,Small World,,14/08/2023,,Thuis ,90,,,,,Ottie,,,107,,,,,Stephanie,,,98,1,,,,Tom,,,119,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74814897,27173,Vikings,,14/08/2023,,Thuis ,75,,,,,Ottie,,,74,,,,,Stephanie,,,69,1,,,,Tom,,,76,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74839770,35435,Nefertiti,,15/08/2023,,Thuis ,,,,,,Dieter,,,76,1,,,,Lieselot,,,45,1,,,,Maxim,,,58,1,,,,Ottie,,,90,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
74843329,2653,Survive: Escape from Atlantis!,,15/08/2023,,Thuis ,52,,,,,Dieter,,,9,1,,,,Lieselot,,,0,1,,,,Maxim,,,0,1,,,,Ottie,,,16,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
74847124,370591,Dorfromantik: The Board Game,,15/08/2023,,Thuis ,60,,,,,Dieter,,Team 1,202,,,1,,Lieselot,,Team 1,202,1,,1,,Maxim,,Team 1,202,,,1,,Ottie,,Team 1,202,,,1,,,,,,,,,,,,,,,,,,,,,,,,
74869666,40834,Dominion: Intrigue,,16/08/2023,,Thuis ,83,,,,,Aur�lie,,,34,1,,1,,Jerry,,,27,1,,,,Ottie,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74871637,111148,W�rfel Bohnanza,,16/08/2023,,Thuis ,45,,,,,Aur�lie,,,7,1,,,,Jerry,,,14,1,,1,,Ottie,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74897301,343362,Oak,,17/08/2023,,Thuis ,106,,,,,Evi,,,56,1,,,,Jonathan,,,34,1,,,,Ottie,,,59,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74898713,178210,Batman Fluxx,,17/08/2023,,Thuis ,17,,,,,Evi,,,,1,,,,Jonathan,,,,1,,,,Ottie,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74898721,272541,Marvel Fluxx,,17/08/2023,,Thuis ,17,,,,,Evi,,,,1,,,,Jonathan,,,,1,,,,Ottie,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75043070,10,Elfenland,,21/08/2023,,Thuis ,90,,,,,Henk,,,17,,,,,Kim Djaanlessa,,,15,1,,,,Nikolaas (Kim),,,17,1,,,,Ottie,,,18,,,1,,,,,,,,,,,,,,,,,,,,,,,,
75069107,361850,Nimalia,,21/08/2023,,Thuis ,,,,,,Henk,,,130,1,,1,,Kim Djaanlessa,,,105,1,,,,Nikolaas (Kim),,,91,1,,,,Ottie,,,85,1,,,,,,,,,,,,,,,,,,,,,,,,,,
75069156,41,Can't Stop,,22/08/2023,,Thuis ,,,,,,Dieter,,,,1,,1,,Maxim,,,,1,,,,Nele,,,,1,,,,Ottie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75075429,254640,Just One,,23/08/2023,,Thuis ,,,,,,Dieter,,,,,,1,,Maxim,,,,,,1,,Nele,,,,1,,1,,Ottie,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
75075433,370591,Dorfromantik: The Board Game,,23/08/2023,,Thuis ,,,,,,Dieter,,,,,,1,,Maxim,,,,,,1,,Ottie,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75096438,27162,Kingsburg,,23/08/2023,,Meeples,90,,,,,Cindy T,,,34,1,,,,Hans,,,34,1,,,,Ottie,,,47,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75101632,108745,Seasons,,23/08/2023,,Meeples,90,,,,,Cindy T,,,106,1,,,,Hans,,,85,1,,,,Ottie,,,71,,,,,Vadim,,,136,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
75122912,37120,Pack & Stack,,24/08/2023,,Thuis ,37,,,,,Cindy T,,,,1,,1,,Hans,,,,1,,,,Nele,,,,1,,,,Ottie,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
75124136,634,River Dragons,,24/08/2023,,Thuis ,,,,,,Cindy T,,,,1,,1,,Hans,,,,1,,1,,Nele,,,,1,,,,Ottie,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
75125761,341416,High Score,,24/08/2023,,Thuis ,15,,,,,Cindy T,,,12,,,,,Hans,,,15,,,1,,Ottie,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75125795,254640,Just One,,24/08/2023,,Thuis ,23,,,,,Cindy T,,,,,,1,,Hans,,,,,,1,,Nele,,,,,,1,,Ottie,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
75153201,383607,Barcelona,,25/08/2023,,Thuis ,135,,,,,Ottie,,,236,1,,,,Tom VG,,,186,1,,,,Vadim,,,252,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
