"play ID","game ID","game name",date,location,length,comments,"player 1 username","player 1 name","player 1 startposition","player 1 color","player 1 score","player 1 new","player 1 win","player 2 username","player 2 name","player 2 startposition","player 2 color","player 2 score","player 2 new","player 2 win","player 3 username","player 3 name","player 3 startposition","player 3 color","player 3 score","player 3 new","player 3 win","player 4 username","player 4 name","player 4 startposition","player 4 color","player 4 score","player 4 new","player 4 win","player 5 username","player 5 name","player 5 score","player 5 new","player 5 win","player 6 username","player 6 name","player 6 score","player 6 new","player 6 win","player 7 name","player 7 win","player 8 username","player 8 name","player 8 new"
60623503,317504,"Mandala Stones",2021-12-28,h.,,,,Marcha,"start player",,72,,1,Excali8ur,Rianne,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60623504,194690,Viral,2021-12-28,h.,,,,Marcha,,,47,1,1,Excali8ur,Rianne,"start player",,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60623505,317504,"Mandala Stones",2021-12-29,h.,,,,Jocelijn,,,38,1,,,Martijn,,,50,,,Excali8ur,Rianne,"start player",,59,,1,,Sabrina,,,35,,,,,,,,,,,,,,,,,
60623507,180974,"Potion Explosion",2021-12-29,h.,,,,Jocelijn,"start player",,54,,,,Martijn,,,57,,,Excali8ur,Rianne,,,60,,,,Sabrina,,,66,,1,,,,,,,,,,,,,,,
60623508,339789,"Welcome to the Moon",2021-12-29,H.,,"Mission 1 - Launch",,Bart,,,110,,,,Martijn,,,120,1,,Excali8ur,Rianne,,,156,,1,,Sabrina,,,155,1,,,,,,,,,,,,,,,,
60623510,339789,"Welcome to the Moon",2021-12-31,H.,,"Mission 2 - Journey",,Bart,,,70,,,,Martijn,,,86,,,Excali8ur,Rianne,,,78,,,,Sabrina,,,111,,1,,,,,,,,,,,,,,,
60623511,339789,"Welcome to the Moon",2021-12-31,H.,,"Mission 3 - Colony",,Bart,,,121,,,,Martijn,,,127,,,Excali8ur,Rianne,,,122,,,,Sabrina,,,155,,1,,,,,,,,,,,,,,,
60623513,230802,Azul,2021-12-31,h.,,,,Bart,,,92,,,,Martijn,"start player",,112,,1,Excali8ur,Rianne,,,66,,,,Sabrina,,,57,,,,,,,,,,,,,,,,,
60623514,220258,Envyra,2021-12-31,h.,,,,Bart,,,24,1,,,Martijn,,,26,,,Excali8ur,Rianne,,,17,1,,,Sabrina,"start player",,32,,1,,,,,,,,,,,,,,,
60623515,329450,Equinox,2021-12-31,h.,,Golem,,Bart,,,15,,1,,Martijn,,,2,,,Excali8ur,Rianne,,,10,1,,,Sabrina,"start player",,6,,,,,,,,,,,,,,,,,
60623517,133473,"Sushi Go!",2021-12-31,h.,,,,Bart,,,45,,1,,Martijn,,,31,,,Excali8ur,Rianne,,,35,,,,Sabrina,,,33,,,,,,,,,,,,,,,,,
60623518,267378,Chakra,2021-12-31,h.,,,,Bart,,,5,,,,Martijn,,,12,,1,Excali8ur,Rianne,"start player",,4,,,,Sabrina,,,2,,,,,,,,,,,,,,,,,
60623519,260180,"Project L",2022-01-01,h.,,,,Bart,,,14,,,,Martijn,,,16,,,Excali8ur,Rianne,"start player",,13,,,,Sabrina,,,19,,1,,,,,,,,,,,,,,,
60623521,194690,Viral,2022-01-03,h.,,"Played with expansions:
- [thing=328560]Viral: The Hive[/thing]",,Bart,,,33,,,Excali8ur,Rianne,,,53,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60623522,194690,Viral,2022-01-09,h.,,,,Bart,"start player",,39,,,,Martijn,,,42,,1,Excali8ur,Rianne,,,40,,,,Sabrina,,,42,,,,,,,,,,,,,,,,,
60623523,349131,Splitter,2022-01-09,h.,,,,Bart,,,29,1,,,Martijn,,,41,,1,Excali8ur,Rianne,,,38,1,,,Sabrina,,,31,,,,,,,,,,,,,,,,,
60623524,318009,"Dinosaur Island: Rawr 'n Write",2022-01-09,h.,,,,Bart,,,101,,,,Martijn,,,110,,,Excali8ur,Rianne,,,108,,,,Sabrina,,,124,,1,,,,,,,,,,,,,,,
60623525,339789,"Welcome to the Moon",2022-01-15,H.,,"Mission 4 - Mine",,Bart,,,77,,,Excali8ur,Rianne,,,85,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60623526,298371,"Wild Space",2022-01-16,h.,,,,Bart,,,43,1,,,Martijn,,,29,1,,Excali8ur,Rianne,,,56,1,1,,Sabrina,,,41,1,,,,,,,,,,,,,,,,
60623528,270293,Gorinto,2022-01-16,h.,,,,Bart,,,65,,,,Martijn,,,78,,1,Excali8ur,Rianne,,,66,,,,Sabrina,,,60,,,,,,,,,,,,,,,,,
60623529,339789,"Welcome to the Moon",2022-01-16,H.,,"Mission 4 - Mine",,Bart,,,46,,,,Martijn,,,84,,,Excali8ur,Rianne,,,91,,1,,Sabrina,,,78,,,,,,,,,,,,,,,,,
60623530,18866,"Shear Panic",2022-01-16,h.,,,,Bart,,,29,,1,,Martijn,,,25,1,,Excali8ur,Rianne,,,18,,,,Sabrina,,,27,1,,,,,,,,,,,,,,,,
60623531,143884,"Machi Koro",2022-01-16,h.,,,,Bart,,,0,,,,Martijn,,,0,,1,Excali8ur,Rianne,,,0,,,,Sabrina,,,0,,,,,,,,,,,,,,,,,
60623532,259069,Punto,2022-01-16,h.,,,,Bart,,,0,1,,,Martijn,,,0,1,,Excali8ur,Rianne,,,0,1,1,,Sabrina,,,0,1,,,,,,,,,,,,,,,,
60623533,259069,Punto,2022-01-16,h.,,,,Bart,,,0,,,,Martijn,,,0,,,Excali8ur,Rianne,,,0,,1,,Sabrina,,,0,,,,,,,,,,,,,,,,,
60623534,259069,Punto,2022-01-16,h.,,,,Bart,,,0,,,,Martijn,,,0,,,Excali8ur,Rianne,,,0,,,,Sabrina,,,0,,1,,,,,,,,,,,,,,,
60623535,259069,Punto,2022-01-16,h.,,,,Bart,,,0,,,,Martijn,,,0,,1,Excali8ur,Rianne,,,0,,,,Sabrina,,,0,,,,,,,,,,,,,,,,,
60623537,318009,"Dinosaur Island: Rawr 'n Write",2022-01-23,h.,,,,Marcha,,,71,1,,Excali8ur,Rianne,,,109,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60623538,328479,"Living Forest",2022-01-28,h.,,,,Marcha,"start player",,22,1,,Excali8ur,Rianne,,,24,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60623539,171499,Cacao,2022-01-28,h.,,,,Martijn,,,129,,,Excali8ur,Rianne,,,147,,1,,Sabrina,,,142,,,,,,,,,,,,,,,,,,,,,,,,
60623540,298069,Cubitos,2022-01-28,h.,,,,Marcha,,,0,,1,Excali8ur,Rianne,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60623541,349131,Splitter,2022-01-29,h.,,,,Martijn,,,29,,,Excali8ur,Rianne,,,32,,,,Sabrina,,,35,,1,,,,,,,,,,,,,,,,,,,,,,
60623542,335275,"Whirling Witchcraft",2022-01-29,h.,,,,Martijn,,,0,,1,Excali8ur,Rianne,,,0,,,,Sabrina,,,0,,,,,,,,,,,,,,,,,,,,,,,,
60623543,335275,"Whirling Witchcraft",2022-01-29,h.,,,,Martijn,,,0,,1,Excali8ur,Rianne,,,0,,,,Sabrina,,,0,,1,,,,,,,,,,,,,,,,,,,,,,
60623544,263918,Cartographers,2022-01-29,h.,,,,Martijn,,,74,,,Excali8ur,Rianne,,,94,,1,,Sabrina,,,71,,,,,,,,,,,,,,,,,,,,,,,,
60623545,265683,"Second Chance",2022-01-31,M.,,,,Marcha,,,7,,,Excali8ur,Rianne,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60623546,34585,Keltis,2022-01-31,M.,,,,Marcha,,,47,,,Excali8ur,Rianne,,,56,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60623547,339789,"Welcome to the Moon",2022-02-13,H.,,"Mission 5 - Dome",,Bart,,,101,,,,Martijn,,,71,,,Excali8ur,Rianne,,,146,,1,,Sabrina,,,89,,,,,,,,,,,,,,,,,
60623548,244521,Quacks,2022-02-13,h.,,,,Bart,,,43,,,,Martijn,,,57,,1,Excali8ur,Rianne,,,43,,,,Sabrina,,,49,,,,,,,,,,,,,,,,,
60623549,16216,"Carcassonne: The Discovery",2022-02-13,h.,,,,Bart,,,38,1,,,Martijn,,,49,1,,Excali8ur,Rianne,,,33,,,,Sabrina,,,54,1,1,,,,,,,,,,,,,,,
60623550,298069,Cubitos,2022-02-13,h.,,,,Bart,,,0,,,,Martijn,,,0,,1,Excali8ur,Rianne,,,0,,,,Sabrina,,,0,,,,,,,,,,,,,,,,,
60623551,133473,"Sushi Go!",2022-02-13,h.,,,,Bart,,,36,,,,Martijn,,,36,,,Excali8ur,Rianne,,,37,,1,,Sabrina,,,32,,,,,,,,,,,,,,,,,
60623553,339789,"Welcome to the Moon",2022-02-20,H.,,"Mission 6 - Virus",,Bart,,,59,,,,Martijn,,,78,,,Excali8ur,Rianne,,,78,,,,Sabrina,,,93,,1,,,,,,,,,,,,,,,
60623554,339789,"Welcome to the Moon",2022-02-27,H.,,"Mission 7 - Escape",,Bart,,,109,,1,,Martijn,,,86,,,Excali8ur,Rianne,,,89,,,,Sabrina,,,72,,,,,,,,,,,,,,,,,
60623556,339789,"Welcome to the Moon",2022-02-27,H.,,"Mission 8 - Fight",,Bart,,,129,,,,Martijn,,,136,,,Excali8ur,Rianne,,,138,,1,,Sabrina,,,121,,,,,,,,,,,,,,,,,
60623557,180974,"Potion Explosion",2022-03-11,Home,,"Played with expansions:
- [thing=203542]Potion Explosion: The Fifth Ingredient[/thing]",,Marcha,,,41,1,,Excali8ur,Rianne,,,56,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60623558,339789,"Welcome to the Moon",2022-03-11,H.,,"Mission 3 - Colony",,Marcha,,,138,1,1,Excali8ur,Rianne,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60623559,245476,CuBirds,2022-03-11,h.,,,,Marcha,,,0,,1,Excali8ur,Rianne,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60623560,275215,Namiji,2022-03-18,h.,,,,Bart,,,46,1,1,,Marcha,,,41,1,,Excali8ur,Rianne,,,33,1,,,,,,,,,,,,,,,,,,,,,,,
60623561,267378,Chakra,2022-03-18,h.,,,,Marcha,,,13,,,Excali8ur,Rianne,,,14,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
