Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Aanbieding (product.metafields.custom.aanbieding),Aantal Spelers (product.metafields.custom.aantal_spelers),Aantal speler 2 (product.metafields.custom.aantal_speler_2),Aantal Stukjes (product.metafields.custom.aantal_stukjes),Activiteit (product.metafields.custom.activiteit),Demospel (product.metafields.custom.demospel),Inhoud doos (product.metafields.custom.inhoud_doos),Leeftijd (product.metafields.custom.leeftijd),Moeilijkheidsgraad (product.metafields.custom.moeilijkheidsgraad),Soort Product (product.metafields.custom.soort_product),Type Spel (product.metafields.custom.soort_spel),Spelduur (product.metafields.custom.spelduur),Spelmechanisme (product.metafields.custom.spelmechanisme),Taal (product.metafields.custom.taal),Thema (product.metafields.custom.thema),Type Accessoires (product.metafields.custom.type_accessoires),Uitgever (product.metafields.custom.uitgever),Weetjes (product.metafields.custom.weetjes),Wereld (product.metafields.custom.wereld),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Aantal productbeoordelingen (product.metafields.reviews.rating_count),Leeftijdsgroep (product.metafields.shopify.age-group),Leeftijdsbeperkingen (product.metafields.shopify.age-restrictions),Kenmerken spelbord (product.metafields.shopify.board-game-features),Bordspelmechanismen (product.metafields.shopify.board-game-mechanics),Type bouwspeelgoed (product.metafields.shopify.building-toy-type),Kleur (product.metafields.shopify.color-pattern),Behendigheidsvaardigheden (product.metafields.shopify.dexterity-skills),Dobbelsteenvorm (product.metafields.shopify.dice-shape),Materiaal versiering/rand (product.metafields.shopify.embellishment-trim-material),Evenementtype (product.metafields.shopify.event-type),Moeilijkheidsgraad spel (product.metafields.shopify.game-difficulty),Gameplay-vaardigheden (product.metafields.shopify.gameplay-skills),Puzzelthema (product.metafields.shopify.puzzle-theme),Type puzzel (product.metafields.shopify.puzzle-type),Aanbevolen leeftijdsgroep (product.metafields.shopify.recommended-age-group),Thema (product.metafields.shopify.theme),Materiaal speelgoed/spel (product.metafields.shopify.toy-game-material),Aanvullende producten (product.metafields.shopify--discovery--product_recommendation.complementary_products),Gerelateerde producten (product.metafields.shopify--discovery--product_recommendation.related_products),Gerelateerde productinstellingen (product.metafields.shopify--discovery--product_recommendation.related_products_display),Productboosts zoeken (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Nederland,Price / Nederland,Compare At Price / Nederland,Included / Belgie,Price / Belgie,Compare At Price / Belgie,Included / Internationaal,Price / Internationaal,Compare At Price / Internationaal,Status
_DummyItem,Dummy,<p>Deze rij wordt gebruikt om aan te geven of deze rij (soms) gevuld is en met wat voor een soort waarde</br>Leeg = Nooit gevuld / niet gerbuikt; anders een voorbeeld</p>,De Dwalende Dwerg,Toys & Games > Games > Board Games,Gezelschapsspel,Uitbreiding,true,Title,Default Title,,,,,,,,999-DUMMY,100,shopify,3,deny,manual,999.95,99.95,true,true,8.5942E+12,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/naamplaatje.png,,,false,,,,,,,,,,,,,,,"2 spelers
3 spelers
4 spelers",2 tot 4 spelers,500,Samenwerken,TRUE,"'- 37 Kaarten
- De spelregels",12+,Expert,,Kaartspel,±90 minuten,"Worker placement
Strategisch",Engels,"Beschaving
Expeditie
Realistisch",,999Games,#NAAM?,,FALSE,,,,bekroond,plaatsing-van-werkers; strategie,,veelkleurig,,tetraeder-4-zijden; kubus-6-zijden; octaeder-8-zijden; vijfhoekige-trapezoeder-10-zijden; dodecaeder-12-zijden; icosaeder-20-zijden,,,,geheugen; strategisch-denken,dieren,hersenkraker,10-jaar-of-ouder,,hout,,,,,,kg,,29.63,true,,,true,,,true,,,active
1000-bommen-granaten,1000 Bommen & Granaten! - Dobbelspel,"<p><span>Speel samen met Harry als piraat in het spannende dobbelspel 1000 Bommen &amp; Granaten!</span></p>
<p><span>Trek een kaart, gooi de dobbelstenen en bepaal hoe jij je punten gaat verdienen. Gooi je 3 doodshoofden? Dan ben je af! <br></span><span>Werp je in de eerste worp meer dan 3 doodshoofden dan vaar je naar Doodshoofdeiland en mag je punten van tegenstanders weghalen. Verzamel jij als eerste 6000 punten?</span></p>",999Games,Toys & Games > Games > Card Games,Gezelschapsspel,"2 personen, 3 personen, 4 personen, Competitie, demo, Dobbelen, Dobbelspel, Dobbelstenen, Makkelijk, Makkelijk te leren, Push Your Luck",,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/1000Bommen_Granaten.png?v=1680098222,1,,,,,,,,,,,,,,,,,"2 spelers
3 spelers
4 spelers
5 spelers",2 tot 5 spelers,,Verzamelen,,,8+,Makkelijk,,Dobbelspel,±30 minuten,"Push your luck
Dobbelen",Nederlands,Avontuur,,999Games,"'- Perfect voor wie even iets anders wilt spelen dan Regenwormen
- De kaarten zijn niet noodzakelijk om te gebruiken tijdens het spel
- Heel leuk dat je ook punten kunt afsnoepen bij andere spelers",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
20-second-showdown-partyspel,20 Second Showdown - Partyspel,"<p><b>20 Second Showdown is een vliegensvlug spel voor 5-20 spelers.</b></p>
<p>Eén speler is de scheidsrechter. De anderen verdelen zich over twee teams, gaan tegenover elkaar zitten en zetten zich schrap.</p>
<p>Aan het begin van elke ronde zet de scheidsrechter de zandloper terug met een gelijkmatige hoeveelheid zand in elke helft. De scheidsrechter draait de zandloper om en leest de kaart voor. Elke kaart bevat 2 uitdagingen en de scheidsrechter bepaalt welke kant in een ronde wordt gebruikt.</p>
<p>“Sta op en doe de YMCA.<span> </span><b>Stel jezelf netjes voor zonder je mond dicht te doen.</b><span> </span>Noem drie landen die beginnen met de letter B.<span> </span><b>Gebruik je eigen sok als handpop.<span> </span></b>Noem alle dingen op die je vandaag hebt gegeten”.</p>
<p>Bij iedere behaalde uitdaging draait de scheidsrechter de zandloper om. Om te winnen, moet je het andere team dwingen om zonder zand te zitten door je uitdagingen zo snel mogelijk af te ronden.<span> </span><b>Het eerste team dat zonder zand komt te zitten, verliest de ronde en het eerste team dat drie ronden wint, wordt gekroond tot kampioen!</b></p>",999Games,Toys & Games > Games > Board Games,Gezelschapsspel,"Behendigheid, Kaartspel, Partyspel, Reactievermogen, Samenwerken",,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/20-Second-Showdown_L-ShvJ.png?v=1730554442,1,,,,,,,,,,,,,,,,,"5 spelers
6 spelers
7 spelers
8 spelers
9 spelers
10 spelers
meer dan 10 spelers",5 tot 20 spelers,,Samenwerken,,,10+,Makkelijk,,Kaartspel,±30 minuten,"Reactievermogen
Behendigheid",Nederlands,Partyspel,,999Games,"'- Een simpel partyspel met even belachelijke als hilarische uitdagingen.
- Met simpele regels en talloze opdrachten is 20 Second Showdown perfect voor grote groepen.
- Met een speciaal ontworpen, luidruchtige zandloper voor net dat beetje extra spanning.
",,,,,,,feest,,blauw; zwart; veelkleurig-21; geel,,,,,,,,,5-jaar-of-ouder,,karton,,,,,,kg,,,,,,,,,,,,
20-second-showdown-partyspel,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/20-Second-Showdown-spel.png?v=1730554441,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-second-showdown-partyspel,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/23031137-999GAMES-SHOT-9-0551-web.png?v=1730554442,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-second-showdown-partyspel,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/20-Second-Showdown_speelmateriaal2_WEB.png?v=1730554442,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-seconds,30 Seconds,"<p data-mce-fragment=""1""><b data-mce-fragment=""1"">Welk team bereikt als eerste de finish?</b></p>
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">Spectaculair partyspel voor teams. Fantastisch voor grote gezelschappen op feestjes en partijen.</b></p>
<p data-mce-fragment=""1"">Je speelt in teams. Een van jullie probeert binnen 30 seconden zoveel mogelijk van de 5 begrippen op een kaartje te omschrijven. Hoe meer begrippen jullie raden, des te meer velden jullie op het speelbord vooruit mogen. Een dobbelsteenworp kan daar nog verandering in brengen.<br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">30 SECONDS®, het uitdagende spel waarbij je snel moet denken en net zo snel moet praten, garandeert uren speelplezier met jouw familie en vrienden. Het wordt zeker supergezellig!</b></p>",999Games,,Gezelschapsspel,"Bordspel, Competitie, Coöperatief, Partyspel, Samenwerken, Test je kennis",,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/30seconds1.png?v=1704915164,1,,,,,,,,,,,,,,,,,"3 spelers
4 spelers
5 spelers
6 spelers
7 spelers
8 spelers
9 spelers
10 spelers
meer dan 10 spelers",3 tot 24 spelers,,"Competitie
Samenwerken",,,12+,Makkelijk,,Bordspel,±30 minuten,"Test je kennis
Coöperatief",Nederlands,Partyspel,,999Games,"'- Leuk voor kleine én grote groepen
- Door de tijdsdruk ontstaan er al snel hilarische situaties!",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
30-seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/30seconds2.png?v=1704915164,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/30seconds3.png?v=1704915164,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/30seconds4.png?v=1704915162,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
